promo_id,promo_name,discount_type,discount_value,min_order_value,valid_from,valid_to,is_active
PROMO001,Festival Offer,flat,107.26,400,2021-02-17,2021-03-20,1
PROMO002,Bulk Order Discount,percent,23.77,300,2024-08-11,2024-09-15,1
PROMO003,First Order Discount,percent###,21.88,300,2023-03-29,2023-05-19,1
PROMO004,Bulk Order Discount,flat,44.13,100,2022-03-09,2022-05-10,1
PROMO005,First Order Discount,percent,17.99,300,2022-01-04,2022-03-09,1
PROMO006,Happy Hours,percent,12.7,150,2023-07-05,2023-09-24,1
PROMO007,Festival Offer,percent,13.17,150,2023-05-23,2023-07-27,1
PROMO008,Weekend Deal,percent,21.2,300,2023-12-22,2024-01-11 ,1
PROMO009,New User Offer,flat,99.52,200,2024-09-08,2024-10-16,1
PROMO010,Referral Reward,flat,140.03,400,2023-12-13,2023-12-27,1
PROMO011,Weekend Deal,flat,124.04,400,2023-04-16,2023-07-10,1
PROMO012,Bulk Order Discount,percent,13.14,150,2024-06-05,2024-08-26,1
PROMO013,Weekend Deal,percent,27.08,500,2021-03-08,2021-06-06,1
PROMO014,Festival Offer,percent,14.4,150,2021-07-16,2021-09-16,1
PROMO015,Combo Saver,flat,58.14,200,2023-08-10,2023-08-25,1
PROMO016,New User Offer,flat,90.57,200,2023-12-28,2024-02-24,1
X6505,Combo Saver,percent,22.93,300,2021-04-20,2021-05-30,1
PROMO018,Happy Hours,flat,125.53,400,2021-04-12,2021-04-25,1
PROMO019,New User Offer,flat,25.07,100,2023-01-05,2023-02-04,1
PROMO020,Happy Hours,percent,8.88,150,2021-03-01,2021-04-13,1
PROMO021,First Order Discount,flat,91.55,200,2024-09-19,2024-10-16,1
PROMO022,Referral Reward,,53.63,200,2024-01-05,2024-03-27,1
PROMO023,New User Offer,percent,17.04,300,2021-01-07,2021-03-22,1
PROMO024,New User Offer,flat,146.76,400,2025-01-10,2025-02-02,1
PROMO025,First Order Discount,flat,88.89,200,2023-04-22,2023-06-12,1
PROMO026,Combo Saver,percent,5.53,150,2022-06-21,2022-08-02,1
PROMO027,Festival Offer,flat,64.51,200,2021-09-28,2021-12-22,1
PROMO028,Bulk Order Discount,percent,17.76,300,2024-10-13,2024-12-09,1
PROMO029,Referral Reward,flat,97.53,99999,2025-01-28,2025-04-14,1
PROMO030,Festival Offer,percent,22.13,300,2023-08-11,2023-09-23 ,1
PROMO031,Combo Saver,percent,9.41,150,2023-03-29,2023-05-13,1
PROMO032,Festival Offer,percent,,150,2021-08-30!!!,2021-11-06,1
PROMO033,New User Offer,flat,95.38,200,2024-07-23,2024-09-19,1
PROMO034,Festival Offer,flat,103.97,400,2021-07-27,2021-09-18,1
PROMO035@@@,First Order Discount,percent,8.35,150,2021-03-19!!!,2021-04-28,1
PROMO036,New User Offer,flat,133.03,400,2022-06-01,2022-07-15,1
PROMO037,Happy Hours,flat,71.99,200,2021-02-06,2021-04-26 ,1
PROMO038,Weekend Deal,flat,126.34,400,2022-07-15,2022-10-10,1
PROMO039,Bulk Order Discount,percent,18.51,300,2021-03-15,2021-04-08,1
PROMO040,Bulk Order Discount,percent,16.03,300,2022-12-16!!!,2023-02-11,1
PROMO041,Festival Offer,percent,21.8,300,2023-06-18,2023-07-08,1
PROMO042,Loyalty Bonus,percent,29.34,500,2024-01-13,2024-03-16 ,1
PROMO043,Bulk Order Discount,percent,8.85,150,2024-02-08,2024-04-09,1
PROMO044,Weekend Deal,percent###,10.3,150,2021-06-24,2021-07-07,1
PROMO045,Flash Sale,flat,121.18,400,2023-12-17,2024-02-09,1
PROMO046,Loyalty Bonus,flat,139.99,400,2024-12-27,2025-01-22,1
PROMO047,Flash Sale,flat,25.51,99999,2024-02-08,2024-03-15,1
PROMO048,New User Offer,flat,69.78,200,2025-03-28,2025-04-19,1
PROMO049,Festival Offer,flat,-1.0,400,2022-11-02,2022-11-26,1
PROMO050,Bulk Order Discount,percent,20.94,300,2024-08-16,2024-10-02,1
